X0,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
59,7.800000,0.590000,0.180000,2.300000,0.076000,17.000000,54.000000,0.997500,3.430000,0.590000,10.000000,5
60,7.300000,0.390000,0.310000,2.400000,0.074000,9.000000,46.000000,0.996200,3.410000,0.540000,9.400000,6
61,8.800000,0.400000,0.400000,2.200000,0.079000,19.000000,52.000000,0.998000,3.440000,0.640000,9.200000,5
62,7.700000,0.690000,0.490000,1.800000,0.115000,20.000000,112.000000,0.996800,3.210000,0.710000,9.300000,5
63,7.500000,0.520000,0.160000,1.900000,0.085000,12.000000,35.000000,0.996800,3.380000,0.620000,9.500000,7
64,7.000000,0.735000,0.050000,2.000000,0.081000,13.000000,54.000000,0.996600,3.390000,0.570000,9.800000,5
65,7.200000,0.725000,0.050000,4.650000,0.086000,4.000000,11.000000,0.996200,3.410000,0.390000,10.900000,5
66,7.200000,0.725000,0.050000,4.650000,0.086000,4.000000,11.000000,0.996200,3.410000,0.390000,10.900000,5
67,7.500000,0.520000,0.110000,1.500000,0.079000,11.000000,39.000000,0.996800,3.420000,0.580000,9.600000,5
68,6.600000,0.705000,0.070000,1.600000,0.076000,6.000000,15.000000,0.996200,3.440000,0.580000,10.700000,5
69,9.300000,0.320000,0.570000,2.000000,0.074000,27.000000,65.000000,0.996900,3.280000,0.790000,10.700000,5
70,8.000000,0.705000,0.050000,1.900000,0.074000,8.000000,19.000000,0.996200,3.340000,0.950000,10.500000,6
71,7.700000,0.630000,0.080000,1.900000,0.076000,15.000000,27.000000,0.996700,3.320000,0.540000,9.500000,6
72,7.700000,0.670000,0.230000,2.100000,0.088000,17.000000,96.000000,0.996200,3.320000,0.480000,9.500000,5
73,7.700000,0.690000,0.220000,1.900000,0.084000,18.000000,94.000000,0.996100,3.310000,0.480000,9.500000,5
74,8.300000,0.675000,0.260000,2.100000,0.084000,11.000000,43.000000,0.997600,3.310000,0.530000,9.200000,4
75,9.700000,0.320000,0.540000,2.500000,0.094000,28.000000,83.000000,0.998400,3.280000,0.820000,9.600000,5
76,8.800000,0.410000,0.640000,2.200000,0.093000,9.000000,42.000000,0.998600,3.540000,0.660000,10.500000,5
77,8.800000,0.410000,0.640000,2.200000,0.093000,9.000000,42.000000,0.998600,3.540000,0.660000,10.500000,5
78,6.800000,0.785000,0.000000,2.400000,0.104000,14.000000,30.000000,0.996600,3.520000,0.550000,10.700000,6
79,6.700000,0.750000,0.120000,2.000000,0.086000,12.000000,80.000000,0.995800,3.380000,0.520000,10.100000,5
80,8.300000,0.625000,0.200000,1.500000,0.080000,27.000000,119.000000,0.997200,3.160000,1.120000,9.100000,4
81,6.200000,0.450000,0.200000,1.600000,0.069000,3.000000,15.000000,0.995800,3.410000,0.560000,9.200000,5
82,7.800000,0.430000,0.700000,1.900000,0.464000,22.000000,67.000000,0.997400,3.130000,1.280000,9.400000,5
83,7.400000,0.500000,0.470000,2.000000,0.086000,21.000000,73.000000,0.997000,3.360000,0.570000,9.100000,5
84,7.300000,0.670000,0.260000,1.800000,0.401000,16.000000,51.000000,0.996900,3.160000,1.140000,9.400000,5
85,6.300000,0.300000,0.480000,1.800000,0.069000,18.000000,61.000000,0.995900,3.440000,0.780000,10.300000,6
86,6.900000,0.550000,0.150000,2.200000,0.076000,19.000000,40.000000,0.996100,3.410000,0.590000,10.100000,5
87,8.600000,0.490000,0.280000,1.900000,0.110000,20.000000,136.000000,0.997200,2.930000,1.950000,9.900000,6
88,7.700000,0.490000,0.260000,1.900000,0.062000,9.000000,31.000000,0.996600,3.390000,0.640000,9.600000,5
89,9.300000,0.390000,0.440000,2.100000,0.107000,34.000000,125.000000,0.997800,3.140000,1.220000,9.500000,5
90,7.000000,0.620000,0.080000,1.800000,0.076000,8.000000,24.000000,0.997800,3.480000,0.530000,9.000000,5
91,7.900000,0.520000,0.260000,1.900000,0.079000,42.000000,140.000000,0.996400,3.230000,0.540000,9.500000,5
92,8.600000,0.490000,0.280000,1.900000,0.110000,20.000000,136.000000,0.997200,2.930000,1.950000,9.900000,6
93,8.600000,0.490000,0.290000,2.000000,0.110000,19.000000,133.000000,0.997200,2.930000,1.980000,9.800000,5
94,7.700000,0.490000,0.260000,1.900000,0.062000,9.000000,31.000000,0.996600,3.390000,0.640000,9.600000,5
95,5.000000,1.020000,0.040000,1.400000,0.045000,41.000000,85.000000,0.993800,3.750000,0.480000,10.500000,4
96,4.700000,0.600000,0.170000,2.300000,0.058000,17.000000,106.000000,0.993200,3.850000,0.600000,12.900000,6
97,6.800000,0.775000,0.000000,3.000000,0.102000,8.000000,23.000000,0.996500,3.450000,0.560000,10.700000,5
98,7.000000,0.500000,0.250000,2.000000,0.070000,3.000000,22.000000,0.996300,3.250000,0.630000,9.200000,5
99,7.600000,0.900000,0.060000,2.500000,0.079000,5.000000,10.000000,0.996700,3.390000,0.560000,9.800000,5
100,8.100000,0.545000,0.180000,1.900000,0.080000,13.000000,35.000000,0.997200,3.300000,0.590000,9.000000,6
101,8.300000,0.610000,0.300000,2.100000,0.084000,11.000000,50.000000,0.997200,3.400000,0.610000,10.200000,6
102,7.800000,0.500000,0.300000,1.900000,0.075000,8.000000,22.000000,0.995900,3.310000,0.560000,10.400000,6
103,8.100000,0.545000,0.180000,1.900000,0.080000,13.000000,35.000000,0.997200,3.300000,0.590000,9.000000,6
104,8.100000,0.575000,0.220000,2.100000,0.077000,12.000000,65.000000,0.996700,3.290000,0.510000,9.200000,5
105,7.200000,0.490000,0.240000,2.200000,0.070000,5.000000,36.000000,0.996000,3.330000,0.480000,9.400000,5
106,8.100000,0.575000,0.220000,2.100000,0.077000,12.000000,65.000000,0.996700,3.290000,0.510000,9.200000,5
107,7.800000,0.410000,0.680000,1.700000,0.467000,18.000000,69.000000,0.997300,3.080000,1.310000,9.300000,5
108,6.200000,0.630000,0.310000,1.700000,0.088000,15.000000,64.000000,0.996900,3.460000,0.790000,9.300000,5
109,8.000000,0.330000,0.530000,2.500000,0.091000,18.000000,80.000000,0.997600,3.370000,0.800000,9.600000,6
110,8.100000,0.785000,0.520000,2.000000,0.122000,37.000000,153.000000,0.996900,3.210000,0.690000,9.300000,5
111,7.800000,0.560000,0.190000,1.800000,0.104000,12.000000,47.000000,0.996400,3.190000,0.930000,9.500000,5
112,8.400000,0.620000,0.090000,2.200000,0.084000,11.000000,108.000000,0.996400,3.150000,0.660000,9.800000,5
113,8.400000,0.600000,0.100000,2.200000,0.085000,14.000000,111.000000,0.996400,3.150000,0.660000,9.800000,5
114,10.100000,0.310000,0.440000,2.300000,0.080000,22.000000,46.000000,0.998800,3.320000,0.670000,9.700000,6
115,7.800000,0.560000,0.190000,1.800000,0.104000,12.000000,47.000000,0.996400,3.190000,0.930000,9.500000,5
116,9.400000,0.400000,0.310000,2.200000,0.090000,13.000000,62.000000,0.996600,3.070000,0.630000,10.500000,6
117,8.300000,0.540000,0.280000,1.900000,0.077000,11.000000,40.000000,0.997800,3.390000,0.610000,10.000000,6
118,7.800000,0.560000,0.120000,2.000000,0.082000,7.000000,28.000000,0.997000,3.370000,0.500000,9.400000,6
119,8.800000,0.550000,0.040000,2.200000,0.119000,14.000000,56.000000,0.996200,3.210000,0.600000,10.900000,6
120,7.000000,0.690000,0.080000,1.800000,0.097000,22.000000,89.000000,0.995900,3.340000,0.540000,9.200000,6
121,7.300000,1.070000,0.090000,1.700000,0.178000,10.000000,89.000000,0.996200,3.300000,0.570000,9.000000,5
122,8.800000,0.550000,0.040000,2.200000,0.119000,14.000000,56.000000,0.996200,3.210000,0.600000,10.900000,6
123,7.300000,0.695000,0.000000,2.500000,0.075000,3.000000,13.000000,0.998000,3.490000,0.520000,9.200000,5
124,8.000000,0.710000,0.000000,2.600000,0.080000,11.000000,34.000000,0.997600,3.440000,0.530000,9.500000,5
125,7.800000,0.500000,0.170000,1.600000,0.082000,21.000000,102.000000,0.996000,3.390000,0.480000,9.500000,5
126,9.000000,0.620000,0.040000,1.900000,0.146000,27.000000,90.000000,0.998400,3.160000,0.700000,9.400000,5
127,8.200000,1.330000,0.000000,1.700000,0.081000,3.000000,12.000000,0.996400,3.530000,0.490000,10.900000,5
128,8.100000,1.330000,0.000000,1.800000,0.082000,3.000000,12.000000,0.996400,3.540000,0.480000,10.900000,5
129,8.000000,0.590000,0.160000,1.800000,0.065000,3.000000,16.000000,0.996200,3.420000,0.920000,10.500000,7
130,6.100000,0.380000,0.150000,1.800000,0.072000,6.000000,19.000000,0.995500,3.420000,0.570000,9.400000,5
131,8.000000,0.745000,0.560000,2.000000,0.118000,30.000000,134.000000,0.996800,3.240000,0.660000,9.400000,5
132,5.600000,0.500000,0.090000,2.300000,0.049000,17.000000,99.000000,0.993700,3.630000,0.630000,13.000000,5
133,5.600000,0.500000,0.090000,2.300000,0.049000,17.000000,99.000000,0.993700,3.630000,0.630000,13.000000,5
134,6.600000,0.500000,0.010000,1.500000,0.060000,17.000000,26.000000,0.995200,3.400000,0.580000,9.800000,6
135,7.900000,1.040000,0.050000,2.200000,0.084000,13.000000,29.000000,0.995900,3.220000,0.550000,9.900000,6
136,8.400000,0.745000,0.110000,1.900000,0.090000,16.000000,63.000000,0.996500,3.190000,0.820000,9.600000,5
137,8.300000,0.715000,0.150000,1.800000,0.089000,10.000000,52.000000,0.996800,3.230000,0.770000,9.500000,5
138,7.200000,0.415000,0.360000,2.000000,0.081000,13.000000,45.000000,0.997200,3.480000,0.640000,9.200000,5
139,7.800000,0.560000,0.190000,2.100000,0.081000,15.000000,105.000000,0.996200,3.330000,0.540000,9.500000,5
140,7.800000,0.560000,0.190000,2.000000,0.081000,17.000000,108.000000,0.996200,3.320000,0.540000,9.500000,5
141,8.400000,0.745000,0.110000,1.900000,0.090000,16.000000,63.000000,0.996500,3.190000,0.820000,9.600000,5
142,8.300000,0.715000,0.150000,1.800000,0.089000,10.000000,52.000000,0.996800,3.230000,0.770000,9.500000,5
143,5.200000,0.340000,0.000000,1.800000,0.050000,27.000000,63.000000,0.991600,3.680000,0.790000,14.000000,6
144,6.300000,0.390000,0.080000,1.700000,0.066000,3.000000,20.000000,0.995400,3.340000,0.580000,9.400000,5
145,5.200000,0.340000,0.000000,1.800000,0.050000,27.000000,63.000000,0.991600,3.680000,0.790000,14.000000,6
146,8.100000,0.670000,0.550000,1.800000,0.117000,32.000000,141.000000,0.996800,3.170000,0.620000,9.400000,5
147,5.800000,0.680000,0.020000,1.800000,0.087000,21.000000,94.000000,0.994400,3.540000,0.520000,10.000000,5
148,7.600000,0.490000,0.260000,1.600000,0.236000,10.000000,88.000000,0.996800,3.110000,0.800000,9.300000,5
149,6.900000,0.490000,0.100000,2.300000,0.074000,12.000000,30.000000,0.995900,3.420000,0.580000,10.200000,6
150,8.200000,0.400000,0.440000,2.800000,0.089000,11.000000,43.000000,0.997500,3.530000,0.610000,10.500000,6
151,7.300000,0.330000,0.470000,2.100000,0.077000,5.000000,11.000000,0.995800,3.330000,0.530000,10.300000,6
152,9.200000,0.520000,1.000000,3.400000,0.610000,32.000000,69.000000,0.999600,2.740000,2.000000,9.400000,4
153,7.500000,0.600000,0.030000,1.800000,0.095000,25.000000,99.000000,0.995000,3.350000,0.540000,10.100000,5
154,7.500000,0.600000,0.030000,1.800000,0.095000,25.000000,99.000000,0.995000,3.350000,0.540000,10.100000,5
155,7.100000,0.430000,0.420000,5.500000,0.070000,29.000000,129.000000,0.997300,3.420000,0.720000,10.500000,5
156,7.100000,0.430000,0.420000,5.500000,0.071000,28.000000,128.000000,0.997300,3.420000,0.710000,10.500000,5
157,7.100000,0.430000,0.420000,5.500000,0.070000,29.000000,129.000000,0.997300,3.420000,0.720000,10.500000,5
158,7.100000,0.430000,0.420000,5.500000,0.071000,28.000000,128.000000,0.997300,3.420000,0.710000,10.500000,5
159,7.100000,0.680000,0.000000,2.200000,0.073000,12.000000,22.000000,0.996900,3.480000,0.500000,9.300000,5
160,6.800000,0.600000,0.180000,1.900000,0.079000,18.000000,86.000000,0.996800,3.590000,0.570000,9.300000,6
161,7.600000,0.950000,0.030000,2.000000,0.090000,7.000000,20.000000,0.995900,3.200000,0.560000,9.600000,5
162,7.600000,0.680000,0.020000,1.300000,0.072000,9.000000,20.000000,0.996500,3.170000,1.080000,9.200000,4
163,7.800000,0.530000,0.040000,1.700000,0.076000,17.000000,31.000000,0.996400,3.330000,0.560000,10.000000,6
164,7.400000,0.600000,0.260000,7.300000,0.070000,36.000000,121.000000,0.998200,3.370000,0.490000,9.400000,5
165,7.300000,0.590000,0.260000,7.200000,0.070000,35.000000,121.000000,0.998100,3.370000,0.490000,9.400000,5
166,7.800000,0.630000,0.480000,1.700000,0.100000,14.000000,96.000000,0.996100,3.190000,0.620000,9.500000,5
167,6.800000,0.640000,0.100000,2.100000,0.085000,18.000000,101.000000,0.995600,3.340000,0.520000,10.200000,5
168,7.300000,0.550000,0.030000,1.600000,0.072000,17.000000,42.000000,0.995600,3.370000,0.480000,9.000000,4
169,6.800000,0.630000,0.070000,2.100000,0.089000,11.000000,44.000000,0.995300,3.470000,0.550000,10.400000,6
170,7.500000,0.705000,0.240000,1.800000,0.360000,15.000000,63.000000,0.996400,3.000000,1.590000,9.500000,5
171,7.900000,0.885000,0.030000,1.800000,0.058000,4.000000,8.000000,0.997200,3.360000,0.330000,9.100000,4
172,8.000000,0.420000,0.170000,2.000000,0.073000,6.000000,18.000000,0.997200,3.290000,0.610000,9.200000,6
173,8.000000,0.420000,0.170000,2.000000,0.073000,6.000000,18.000000,0.997200,3.290000,0.610000,9.200000,6
174,7.400000,0.620000,0.050000,1.900000,0.068000,24.000000,42.000000,0.996100,3.420000,0.570000,11.500000,6
175,7.300000,0.380000,0.210000,2.000000,0.080000,7.000000,35.000000,0.996100,3.330000,0.470000,9.500000,5
176,6.900000,0.500000,0.040000,1.500000,0.085000,19.000000,49.000000,0.995800,3.350000,0.780000,9.500000,5
177,7.300000,0.380000,0.210000,2.000000,0.080000,7.000000,35.000000,0.996100,3.330000,0.470000,9.500000,5
178,7.500000,0.520000,0.420000,2.300000,0.087000,8.000000,38.000000,0.997200,3.580000,0.610000,10.500000,6
179,7.000000,0.805000,0.000000,2.500000,0.068000,7.000000,20.000000,0.996900,3.480000,0.560000,9.600000,5
180,8.800000,0.610000,0.140000,2.400000,0.067000,10.000000,42.000000,0.996900,3.190000,0.590000,9.500000,5
181,8.800000,0.610000,0.140000,2.400000,0.067000,10.000000,42.000000,0.996900,3.190000,0.590000,9.500000,5
182,8.900000,0.610000,0.490000,2.000000,0.270000,23.000000,110.000000,0.997200,3.120000,1.020000,9.300000,5
183,7.200000,0.730000,0.020000,2.500000,0.076000,16.000000,42.000000,0.997200,3.440000,0.520000,9.300000,5
184,6.800000,0.610000,0.200000,1.800000,0.077000,11.000000,65.000000,0.997100,3.540000,0.580000,9.300000,5
185,6.700000,0.620000,0.210000,1.900000,0.079000,8.000000,62.000000,0.997000,3.520000,0.580000,9.300000,6
186,8.900000,0.310000,0.570000,2.000000,0.111000,26.000000,85.000000,0.997100,3.260000,0.530000,9.700000,5
187,7.400000,0.390000,0.480000,2.000000,0.082000,14.000000,67.000000,0.997200,3.340000,0.550000,9.200000,5
188,7.700000,0.705000,0.100000,2.600000,0.084000,9.000000,26.000000,0.997600,3.390000,0.490000,9.700000,5
189,7.900000,0.500000,0.330000,2.000000,0.084000,15.000000,143.000000,0.996800,3.200000,0.550000,9.500000,5
190,7.900000,0.490000,0.320000,1.900000,0.082000,17.000000,144.000000,0.996800,3.200000,0.550000,9.500000,5
191,8.200000,0.500000,0.350000,2.900000,0.077000,21.000000,127.000000,0.997600,3.230000,0.620000,9.400000,5
192,6.400000,0.370000,0.250000,1.900000,0.074000,21.000000,49.000000,0.997400,3.570000,0.620000,9.800000,6
193,6.800000,0.630000,0.120000,3.800000,0.099000,16.000000,126.000000,0.996900,3.280000,0.610000,9.500000,5
194,7.600000,0.550000,0.210000,2.200000,0.071000,7.000000,28.000000,0.996400,3.280000,0.550000,9.700000,5
195,7.600000,0.550000,0.210000,2.200000,0.071000,7.000000,28.000000,0.996400,3.280000,0.550000,9.700000,5
196,7.800000,0.590000,0.330000,2.000000,0.074000,24.000000,120.000000,0.996800,3.250000,0.540000,9.400000,5
197,7.300000,0.580000,0.300000,2.400000,0.074000,15.000000,55.000000,0.996800,3.460000,0.590000,10.200000,5
198,11.500000,0.300000,0.600000,2.000000,0.067000,12.000000,27.000000,0.998100,3.110000,0.970000,10.100000,6
199,5.400000,0.835000,0.080000,1.200000,0.046000,13.000000,93.000000,0.992400,3.570000,0.850000,13.000000,7
200,6.900000,1.090000,0.060000,2.100000,0.061000,12.000000,31.000000,0.994800,3.510000,0.430000,11.400000,4
201,9.600000,0.320000,0.470000,1.400000,0.056000,9.000000,24.000000,0.996950,3.220000,0.820000,10.300000,7
202,8.800000,0.370000,0.480000,2.100000,0.097000,39.000000,145.000000,0.997500,3.040000,1.030000,9.300000,5
203,6.800000,0.500000,0.110000,1.500000,0.075000,16.000000,49.000000,0.995450,3.360000,0.790000,9.500000,5
204,7.000000,0.420000,0.350000,1.600000,0.088000,16.000000,39.000000,0.996100,3.340000,0.550000,9.200000,5
205,7.000000,0.430000,0.360000,1.600000,0.089000,14.000000,37.000000,0.996150,3.340000,0.560000,9.200000,6
206,12.800000,0.300000,0.740000,2.600000,0.095000,9.000000,28.000000,0.999400,3.200000,0.770000,10.800000,7
207,12.800000,0.300000,0.740000,2.600000,0.095000,9.000000,28.000000,0.999400,3.200000,0.770000,10.800000,7
208,7.800000,0.570000,0.310000,1.800000,0.069000,26.000000,120.000000,0.996250,3.290000,0.530000,9.300000,5
209,7.800000,0.440000,0.280000,2.700000,0.100000,18.000000,95.000000,0.996600,3.220000,0.670000,9.400000,5
210,11.000000,0.300000,0.580000,2.100000,0.054000,7.000000,19.000000,0.998000,3.310000,0.880000,10.500000,7
211,9.700000,0.530000,0.600000,2.000000,0.039000,5.000000,19.000000,0.995850,3.300000,0.860000,12.400000,6
212,8.000000,0.725000,0.240000,2.800000,0.083000,10.000000,62.000000,0.996850,3.350000,0.560000,10.000000,6
213,11.600000,0.440000,0.640000,2.100000,0.059000,5.000000,15.000000,0.998000,3.210000,0.670000,10.200000,6
214,8.200000,0.570000,0.260000,2.200000,0.060000,28.000000,65.000000,0.995900,3.300000,0.430000,10.100000,5
215,7.800000,0.735000,0.080000,2.400000,0.092000,10.000000,41.000000,0.997400,3.240000,0.710000,9.800000,6
216,7.000000,0.490000,0.490000,5.600000,0.060000,26.000000,121.000000,0.997400,3.340000,0.760000,10.500000,5
217,8.700000,0.625000,0.160000,2.000000,0.101000,13.000000,49.000000,0.996200,3.140000,0.570000,11.000000,5
218,8.100000,0.725000,0.220000,2.200000,0.072000,11.000000,41.000000,0.996700,3.360000,0.550000,9.100000,5
219,7.500000,0.490000,0.190000,1.900000,0.076000,10.000000,44.000000,0.995700,3.390000,0.540000,9.700000,5
220,7.800000,0.530000,0.330000,2.400000,0.080000,24.000000,144.000000,0.996550,3.300000,0.600000,9.500000,5
221,7.800000,0.340000,0.370000,2.000000,0.082000,24.000000,58.000000,0.996400,3.340000,0.590000,9.400000,6
222,7.400000,0.530000,0.260000,2.000000,0.101000,16.000000,72.000000,0.995700,3.150000,0.570000,9.400000,5
223,6.800000,0.610000,0.040000,1.500000,0.057000,5.000000,10.000000,0.995250,3.420000,0.600000,9.500000,5
224,8.600000,0.645000,0.250000,2.000000,0.083000,8.000000,28.000000,0.998150,3.280000,0.600000,10.000000,6
225,8.400000,0.635000,0.360000,2.000000,0.089000,15.000000,55.000000,0.997450,3.310000,0.570000,10.400000,4
226,7.700000,0.430000,0.250000,2.600000,0.073000,29.000000,63.000000,0.996150,3.370000,0.580000,10.500000,6
227,8.900000,0.590000,0.500000,2.000000,0.337000,27.000000,81.000000,0.996400,3.040000,1.610000,9.500000,6
228,9.000000,0.820000,0.140000,2.600000,0.089000,9.000000,23.000000,0.998400,3.390000,0.630000,9.800000,5
229,7.700000,0.430000,0.250000,2.600000,0.073000,29.000000,63.000000,0.996150,3.370000,0.580000,10.500000,6
230,6.900000,0.520000,0.250000,2.600000,0.081000,10.000000,37.000000,0.996850,3.460000,0.500000,11.000000,5
231,5.200000,0.480000,0.040000,1.600000,0.054000,19.000000,106.000000,0.992700,3.540000,0.620000,12.200000,7
232,8.000000,0.380000,0.060000,1.800000,0.078000,12.000000,49.000000,0.996250,3.370000,0.520000,9.900000,6
233,8.500000,0.370000,0.200000,2.800000,0.090000,18.000000,58.000000,0.998000,3.340000,0.700000,9.600000,6
234,6.900000,0.520000,0.250000,2.600000,0.081000,10.000000,37.000000,0.996850,3.460000,0.500000,11.000000,5
